Ref,id,Gender,Satisfied,Age,Age Band,Type of Travel,Class,Flight Distance,Destination,Continent,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
837,11604,Female,Y,42,35 to 44,Personal Travel,Eco,470,Belgium,Europe,2,4,2,1,1,2,5,1,1,2,1,2,1,3,0,0
838,76118,Male,N,39,35 to 44,Business travel,Business,4760,India,Asia,0,1,1,3,3,1,3,3,3,5,4,3,5,3,1,0
839,126508,Female,Y,55,55 to 64,Business travel,Business,4760,India,Asia,3,3,3,3,5,4,5,3,3,3,3,4,3,5,0,0
840,97029,Female,Y,8,Under 18,Personal Travel,Eco Plus,795,Liechtenstein,Europe,2,4,2,4,5,2,5,5,4,2,4,4,5,5,11,7
841,48727,Female,Y,50,45 to 54,Business travel,Business,4760,India,Asia,0,5,0,4,2,5,5,4,4,4,4,3,4,3,0,0
842,60235,Female,Y,58,55 to 64,Business travel,Business,4760,India,Asia,1,1,1,1,2,1,1,5,5,5,5,4,5,5,13,18
843,4278,Female,Y,41,35 to 44,Business travel,Business,4760,India,Asia,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0,0
844,129841,Female,Y,18,18 to 24,Personal Travel,Eco,4760,India,Asia,2,3,2,3,3,2,3,3,4,5,3,1,3,3,0,0
845,33126,Male,Y,30,25 to 34,Personal Travel,Eco,1610,Tunisia,Africa,3,5,3,5,5,3,5,5,2,1,2,5,2,5,0,2
846,51916,Female,Y,19,18 to 24,Personal Travel,Eco,4760,India,Asia,2,4,2,2,1,2,1,1,3,2,4,3,4,1,46,39
847,6667,Male,N,25,25 to 34,Business travel,Business,4760,India,Asia,0,5,2,5,4,2,4,4,3,2,4,5,5,4,20,1
848,123198,Male,Y,58,55 to 64,Personal Travel,Eco,4760,India,Asia,3,1,2,2,1,2,1,1,1,1,3,4,2,1,0,0
849,63650,Male,Y,23,18 to 24,Business travel,Business,1450,United Kingdom,Europe,1,1,1,1,3,4,3,3,3,2,5,4,5,3,0,0
850,7757,Female,Y,49,45 to 54,Personal Travel,Eco,4760,India,Asia,3,3,3,3,5,2,2,4,4,3,4,3,4,4,31,22
851,91112,Female,Y,18,18 to 24,Personal Travel,Eco,4760,India,Asia,3,5,3,3,2,3,2,2,5,3,4,3,5,2,56,56
852,17321,Female,Y,26,25 to 34,Personal Travel,Eco,4760,India,Asia,3,4,2,3,2,2,2,2,3,5,4,5,5,2,53,36
853,48958,Female,Y,50,45 to 54,Business travel,Eco,420,Netherlands,Europe,4,4,4,4,2,3,4,4,4,4,4,4,4,1,27,20
854,98244,Female,Y,32,25 to 34,Business travel,Business,3065,Kuwait,Asia,4,4,4,4,5,5,5,5,5,4,5,3,4,5,0,0
855,42260,Female,Y,70,65 or over,Business travel,Eco,4760,India,Asia,5,5,5,5,1,5,4,5,5,5,5,4,5,5,0,0
856,15496,Male,Y,14,Under 18,Personal Travel,Eco,4760,India,Asia,3,5,3,2,1,3,1,1,4,5,4,5,4,1,0,0
857,43188,Male,Y,56,55 to 64,Business travel,Business,4760,India,Asia,1,1,1,1,4,5,4,5,5,5,5,4,5,5,0,0
858,78190,Female,Y,70,65 or over,Business travel,Business,4760,India,Asia,3,5,5,5,5,4,0,5,5,4,3,4,5,3,0,12
859,18621,Male,Y,22,18 to 24,Personal Travel,Eco,4760,India,Asia,3,5,0,2,2,0,2,2,5,3,5,4,2,2,113,103
860,38896,Female,Y,37,35 to 44,Business travel,Eco,4760,India,Asia,5,5,5,5,5,5,5,5,1,2,4,1,3,5,0,0
861,45223,Female,Y,24,18 to 24,Business travel,Business,4760,India,Asia,3,3,3,3,3,3,3,3,1,1,2,2,2,3,25,13
862,36798,Female,Y,33,25 to 34,Personal Travel,Eco,4760,India,Asia,1,4,1,4,1,3,3,4,4,5,4,3,5,3,1,13
863,78687,Female,Y,37,35 to 44,Personal Travel,Eco,4760,India,Asia,2,5,2,3,3,2,4,3,4,5,4,4,5,3,2,0
864,110051,Male,Y,70,65 or over,Personal Travel,Eco,4760,India,Asia,1,5,1,3,4,1,4,4,4,5,4,5,4,4,30,55
865,25848,Male,N,36,35 to 44,Business travel,Eco,4760,India,Asia,1,0,1,4,1,1,1,1,1,5,4,1,3,1,5,1
866,53234,Male,Y,32,25 to 34,Personal Travel,Eco,4760,India,Asia,1,5,1,4,4,1,4,4,5,2,5,2,4,4,67,93
867,73548,Female,Y,8,Under 18,Personal Travel,Eco,4760,India,Asia,3,1,4,2,3,4,4,3,3,1,3,4,3,3,37,46
868,73085,Male,Y,26,25 to 34,Business travel,Eco,1085,Estonia,Europe,4,5,2,5,4,3,3,4,3,5,4,1,3,4,94,86
869,68153,Female,Y,51,45 to 54,Business travel,Business,3995,Republic of the Congo,Africa,1,1,1,1,4,5,4,4,4,4,4,3,4,4,8,0
870,120499,Male,Y,47,45 to 54,Business travel,Eco Plus,4760,India,Asia,1,1,1,1,1,1,1,1,1,2,3,4,3,1,0,0
871,86286,Female,Y,36,35 to 44,Personal Travel,Eco,4760,India,Asia,2,5,2,4,2,2,2,2,3,3,4,4,4,2,0,0
872,92452,Male,Y,25,25 to 34,Business travel,Business,4760,India,Asia,3,4,5,5,3,2,3,3,3,3,4,4,4,3,0,0
873,80419,Male,Y,51,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,3,4,5,5,5,5,5,5,5,5,1,8
874,56744,Female,Y,49,45 to 54,Personal Travel,Eco,4760,India,Asia,1,4,1,4,1,2,2,2,2,1,2,3,2,3,0,0
875,58845,Male,Y,44,35 to 44,Business travel,Business,4760,India,Asia,1,1,1,1,5,5,5,2,2,2,2,5,2,3,3,4
876,35204,Male,Y,31,25 to 34,Business travel,Business,1075,Latvia,Europe,5,5,5,5,4,4,4,4,2,2,5,5,4,4,13,44
877,67010,Male,Y,27,25 to 34,Business travel,Business,4760,India,Asia,5,5,5,5,4,4,4,4,4,4,5,5,5,4,0,0
878,106606,Female,N,27,25 to 34,Business travel,Eco,4760,India,Asia,2,0,2,2,3,2,3,3,4,2,2,3,5,3,0,0
879,117009,Male,Y,52,45 to 54,Business travel,Business,4760,India,Asia,2,2,2,2,2,5,5,5,5,5,5,5,5,4,0,0
880,10659,Male,Y,55,55 to 64,Business travel,Eco,4760,India,Asia,1,1,1,1,1,1,1,1,4,1,3,4,3,1,25,27
881,9724,Female,Y,64,55 to 64,Personal Travel,Eco,4760,India,Asia,2,2,2,2,5,3,3,1,1,2,1,3,1,1,8,1
882,65056,Female,Y,8,Under 18,Personal Travel,Eco,4760,India,Asia,3,2,3,4,3,3,3,3,2,4,4,1,3,3,0,0
883,22381,Female,Y,37,35 to 44,Business travel,Business,1125,Portugal,Europe,3,5,5,5,4,3,4,3,3,3,3,4,3,1,0,0
884,84932,Male,Y,44,35 to 44,Personal Travel,Eco,4760,India,Asia,3,5,3,3,1,3,1,1,1,4,1,2,2,1,28,31
885,58816,Male,Y,41,35 to 44,Personal Travel,Eco,1180,Italy,Europe,3,5,3,4,2,3,2,2,5,3,5,5,4,2,0,0
886,29077,Female,Y,37,35 to 44,Personal Travel,Eco,680,France,Europe,2,4,2,3,3,2,3,3,4,3,5,4,4,3,10,20
887,74031,Female,Y,59,55 to 64,Personal Travel,Eco,4760,India,Asia,1,5,1,1,2,4,4,3,3,1,3,4,3,3,0,44
888,116208,Female,Y,43,35 to 44,Personal Travel,Eco,4760,India,Asia,4,0,4,3,4,4,4,4,4,4,4,3,4,4,0,0
889,80494,Female,N,25,25 to 34,Business travel,Business,4760,India,Asia,0,1,5,1,4,5,4,4,4,2,3,3,4,4,8,0
890,1489,Female,Y,54,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,3,5,4,5,5,5,5,5,5,3,0,3
891,53230,Male,Y,58,55 to 64,Personal Travel,Eco,4760,India,Asia,4,1,4,4,4,4,4,4,1,3,4,2,4,4,29,17
892,47141,Male,Y,46,45 to 54,Business travel,Eco,4760,India,Asia,2,2,2,2,2,2,2,2,5,4,2,2,4,2,0,0
893,36015,Female,Y,39,35 to 44,Business travel,Eco,4760,India,Asia,4,2,2,2,4,4,4,4,4,3,1,5,2,4,0,0
894,62074,Female,Y,58,55 to 64,Business travel,Business,4760,India,Asia,2,2,3,2,4,5,5,4,4,4,4,4,4,5,0,0
895,75734,Male,Y,10,Under 18,Business travel,Eco,870,Sweden,Europe,2,4,4,4,2,3,2,3,1,4,3,2,2,2,315,307
896,31498,Female,Y,16,Under 18,Business travel,Business,4760,India,Asia,3,1,1,1,3,3,3,3,1,2,3,2,4,3,0,0
897,18036,Male,Y,43,35 to 44,Business travel,Business,4760,India,Asia,4,4,4,4,5,1,1,4,4,4,4,3,4,4,0,0
898,14781,Female,Y,63,55 to 64,Personal Travel,Eco,4760,India,Asia,2,5,2,3,3,4,5,3,3,2,3,4,3,5,0,0
899,91784,Female,Y,25,25 to 34,Personal Travel,Eco,4760,India,Asia,1,3,1,1,4,1,4,4,1,2,1,3,5,4,0,0
900,117339,Male,Y,47,45 to 54,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0
901,18566,Female,Y,23,18 to 24,Business travel,Business,4760,India,Asia,1,1,1,1,2,1,2,4,2,3,3,2,1,2,158,156
902,54914,Female,Y,58,55 to 64,Business travel,Eco Plus,4760,India,Asia,4,2,2,2,4,3,3,4,4,4,4,1,4,2,0,3
903,78089,Female,Y,49,45 to 54,Personal Travel,Eco Plus,4760,India,Asia,3,5,3,2,5,4,5,4,4,3,4,3,4,4,0,0
904,89153,Female,Y,49,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,1,4,3,1,1,1,1,3,1,4,0,0
905,116444,Female,Y,16,Under 18,Personal Travel,Eco,4760,India,Asia,2,4,3,2,3,3,1,3,4,5,2,5,5,3,2,0
906,92504,Male,N,40,35 to 44,Business travel,Eco,640,Germany,Europe,1,3,1,1,4,1,4,4,2,4,1,2,1,4,0,0
907,35145,Male,Y,58,55 to 64,Business travel,Eco,950,Poland,Europe,5,4,4,4,5,5,5,5,3,2,4,3,4,5,0,25
908,93708,Male,Y,27,25 to 34,Personal Travel,Eco,4760,India,Asia,3,2,3,4,3,3,3,3,4,2,4,2,4,3,0,0
909,15307,Female,N,29,25 to 34,Business travel,Business,4760,India,Asia,0,4,4,3,4,4,4,4,4,5,3,1,4,4,6,2
910,8194,Male,Y,43,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,5,2,2,5,5,5,5,5,5,5,0,0
911,10311,Male,Y,58,55 to 64,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,5,4,4,4,4,3,4,3,19,19
912,47781,Male,Y,46,45 to 54,Business travel,Eco,4760,India,Asia,5,5,5,5,5,5,5,5,5,1,1,3,2,5,88,74
913,25090,Female,Y,38,35 to 44,Business travel,Business,4760,India,Asia,5,5,5,5,3,5,5,5,5,5,5,3,5,5,0,0
914,80225,Female,Y,15,Under 18,Personal Travel,Eco,4760,India,Asia,1,4,1,1,3,1,1,3,5,2,4,4,5,3,38,2
915,36251,Female,Y,49,45 to 54,Business travel,Eco,4760,India,Asia,5,1,1,1,3,2,1,5,5,5,5,3,5,2,0,7
916,32424,Male,Y,49,45 to 54,Business travel,Business,1610,Tunisia,Africa,2,1,5,1,4,2,3,3,3,3,2,1,3,4,0,0
917,97427,Female,Y,42,35 to 44,Personal Travel,Eco,4760,India,Asia,4,4,3,3,4,4,5,3,3,3,3,4,3,3,1,0
918,92570,Female,Y,63,55 to 64,Business travel,Eco Plus,4760,India,Asia,1,5,5,5,3,1,3,1,1,1,1,3,1,1,0,0
919,96271,Female,Y,33,25 to 34,Personal Travel,Eco,4760,India,Asia,3,4,4,4,5,4,5,5,1,5,3,1,5,5,80,76
920,67772,Female,Y,55,55 to 64,Business travel,Eco,4760,India,Asia,2,3,3,3,1,4,3,2,2,2,2,4,2,3,65,91
921,63943,Male,Y,29,25 to 34,Personal Travel,Eco,4760,India,Asia,1,5,1,2,3,1,3,3,4,3,4,5,5,3,0,0
922,82906,Female,Y,25,25 to 34,Personal Travel,Eco,4760,India,Asia,3,3,3,3,4,3,1,4,4,1,2,1,2,4,0,9
923,22832,Male,Y,45,45 to 54,Business travel,Eco,1620,Greece,Europe,4,5,5,5,4,4,4,4,3,1,3,3,4,4,0,0
924,43497,Male,Y,70,65 or over,Personal Travel,Eco,680,France,Europe,0,2,0,3,1,0,1,1,3,1,2,3,2,1,0,0
925,27257,Female,N,25,25 to 34,Business travel,Business,4760,India,Asia,0,5,5,1,4,5,4,4,4,5,5,4,4,4,0,0
926,22495,Female,Y,67,65 or over,Personal Travel,Eco,1125,Portugal,Europe,3,1,3,4,2,3,3,2,2,3,2,3,2,2,64,109
927,74512,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,4,4,5,4,4,4,4,3,4,3,1,10
928,122778,Female,Y,39,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,5,5,4,2,2,2,2,5,2,4,1,4
929,112588,Male,Y,41,35 to 44,Business travel,Business,4760,India,Asia,2,4,4,4,2,3,3,2,2,2,2,1,2,3,0,0
930,94038,Female,Y,56,55 to 64,Business travel,Business,4760,India,Asia,0,5,0,4,5,4,4,5,5,5,5,5,5,4,111,109
931,11226,Male,Y,11,Under 18,Personal Travel,Eco,4760,India,Asia,2,2,2,4,1,2,1,1,1,3,3,4,3,1,2,0
932,22938,Male,Y,19,18 to 24,Business travel,Business,4760,India,Asia,4,5,5,5,4,4,4,4,3,4,4,2,3,4,0,0
933,119345,Female,N,22,18 to 24,Business travel,Eco,4760,India,Asia,4,3,3,1,5,3,5,5,5,5,5,4,5,5,2,0
934,32488,Female,N,27,25 to 34,Business travel,Eco,1610,Tunisia,Africa,3,3,3,2,2,3,2,2,5,1,1,2,3,2,0,0
935,39522,Female,Y,29,25 to 34,Personal Travel,Eco,4760,India,Asia,5,5,5,1,4,5,4,4,3,2,4,3,5,4,26,22
936,2618,Female,Y,34,25 to 34,Personal Travel,Eco,4760,India,Asia,2,5,2,3,3,2,3,3,4,2,5,5,4,3,0,0
937,29113,Male,Y,21,18 to 24,Personal Travel,Eco,4760,India,Asia,2,4,2,4,1,2,1,1,3,4,4,5,4,1,32,33
938,48524,Female,Y,51,45 to 54,Business travel,Eco,5715,Japan,Asia,1,2,2,2,3,3,3,1,1,1,1,3,1,4,0,0
939,74085,Female,Y,52,45 to 54,Business travel,Business,2230,Cyprus,Europe,4,4,4,4,4,4,4,4,4,4,4,4,4,3,24,5
940,118815,Male,N,34,25 to 34,Business travel,Business,4760,India,Asia,0,0,0,1,2,0,2,2,5,5,4,5,4,2,74,77
941,14253,Male,Y,40,35 to 44,Business travel,Business,430,Jersey,Europe,3,1,2,1,5,4,3,3,3,3,3,4,3,2,25,25
942,77844,Female,Y,33,25 to 34,Business travel,Eco Plus,4760,India,Asia,2,1,1,1,2,2,2,2,2,1,3,3,4,2,0,9
943,43832,Male,Y,26,25 to 34,Business travel,Business,4760,India,Asia,0,4,0,5,1,1,1,1,4,2,4,4,2,1,0,0
944,74000,Female,Y,56,55 to 64,Personal Travel,Eco,4760,India,Asia,4,2,4,3,5,3,3,3,3,4,3,3,3,2,0,0
945,56718,Female,Y,28,25 to 34,Personal Travel,Eco,1085,Estonia,Europe,2,5,2,3,4,2,3,4,4,4,5,3,5,4,17,51
946,123711,Male,Y,53,45 to 54,Personal Travel,Eco,4760,India,Asia,2,2,2,3,4,2,4,4,3,4,2,4,2,4,0,0
947,15900,Male,Y,56,55 to 64,Personal Travel,Eco,4760,India,Asia,3,4,3,4,1,3,1,1,3,3,4,3,4,1,34,33
948,122086,Male,Y,23,18 to 24,Personal Travel,Eco,555,Luxembourg,Europe,1,4,1,3,5,1,3,5,2,4,3,4,3,5,0,9
949,30688,Male,Y,27,25 to 34,Business travel,Eco,680,France,Europe,2,5,5,5,2,3,2,2,3,2,4,2,3,2,0,0
950,44347,Male,Y,38,35 to 44,Business travel,Eco,4760,India,Asia,2,1,3,1,2,2,2,2,2,3,2,3,2,2,0,15
951,80521,Female,Y,23,18 to 24,Personal Travel,Eco,4760,India,Asia,2,1,2,4,1,2,1,1,3,4,3,1,4,1,8,0
952,63372,Male,Y,41,35 to 44,Personal Travel,Eco,4760,India,Asia,2,5,5,3,3,5,3,3,3,3,4,3,5,3,66,65
953,129540,Male,Y,31,25 to 34,Business travel,Business,4760,India,Asia,1,1,1,1,4,4,4,4,3,2,4,3,4,4,8,11
954,55001,Female,Y,42,35 to 44,Business travel,Business,1345,California,North America,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,0
955,11174,Female,Y,52,45 to 54,Personal Travel,Eco,4760,India,Asia,3,5,3,2,4,3,1,4,4,3,4,5,4,2,112,101
956,37393,Female,Y,16,Under 18,Business travel,Eco,4760,India,Asia,5,3,3,3,5,4,5,5,5,3,5,2,5,5,0,0
957,26831,Male,N,29,25 to 34,Business travel,Business,4760,India,Asia,0,3,3,4,3,3,3,3,5,3,5,2,2,3,0,3
958,122143,Female,Y,35,35 to 44,Business travel,Business,4760,India,Asia,5,5,5,5,5,4,4,5,5,5,5,5,5,5,10,0
959,110601,Male,Y,29,25 to 34,Personal Travel,Eco,4760,India,Asia,1,5,1,3,2,1,2,2,4,4,4,3,5,2,0,0
960,9911,Male,N,21,18 to 24,Business travel,Eco,4760,India,Asia,3,5,3,3,3,3,3,3,3,2,4,3,4,3,26,34
961,103675,Male,Y,38,35 to 44,Business travel,Business,1640,Morocco,Africa,1,3,3,3,1,1,1,4,4,2,2,1,2,1,156,155
962,116540,Female,Y,48,45 to 54,Personal Travel,Eco,4760,India,Asia,4,4,4,4,2,5,5,5,5,4,5,5,5,4,4,0
963,96574,Male,Y,61,55 to 64,Personal Travel,Eco,4760,India,Asia,2,4,2,2,5,2,5,5,3,3,4,4,4,5,4,1
964,43726,Female,Y,52,45 to 54,Business travel,Eco Plus,4760,India,Asia,5,2,5,2,3,3,4,5,5,5,5,4,5,2,0,0
965,71277,Male,Y,52,45 to 54,Personal Travel,Eco,4760,India,Asia,3,5,3,3,1,3,1,1,4,4,3,4,4,1,13,2
966,51385,Male,Y,33,25 to 34,Personal Travel,Eco Plus,4760,India,Asia,3,1,3,3,3,3,3,3,4,2,3,1,3,3,4,16
967,46321,Male,Y,39,35 to 44,Business travel,Eco,420,Netherlands,Europe,4,2,2,2,4,4,4,4,2,4,4,4,4,4,9,2
968,30777,Female,N,26,25 to 34,Business travel,Eco,4760,India,Asia,1,2,2,3,2,2,4,2,2,5,5,2,5,2,0,0
969,412,Male,Y,58,55 to 64,Business travel,Business,1390,Romania,Europe,2,2,2,2,2,4,4,1,1,1,2,3,1,2,0,0
970,93624,Male,N,24,18 to 24,Business travel,Eco,1620,Greece,Europe,5,0,4,5,1,4,1,1,1,1,3,5,5,1,0,0
971,124194,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0
972,54086,Female,Y,28,25 to 34,Personal Travel,Eco,4760,India,Asia,1,5,1,1,3,1,3,3,4,2,3,5,4,3,1,0
973,114776,Male,Y,30,25 to 34,Business travel,Business,4760,India,Asia,4,4,4,4,5,5,5,5,5,2,5,4,5,5,10,11
974,21256,Male,Y,34,25 to 34,Personal Travel,Eco Plus,1180,Italy,Europe,1,3,1,3,3,1,3,3,2,3,4,3,3,3,0,0
975,36006,Male,Y,49,45 to 54,Business travel,Business,4760,India,Asia,4,4,4,4,2,1,3,3,3,5,3,2,3,5,0,4
976,129530,Female,Y,58,55 to 64,Business travel,Business,4760,India,Asia,5,5,5,5,5,3,4,5,5,5,5,4,5,3,0,0
977,47162,Male,Y,41,35 to 44,Business travel,Business,4760,India,Asia,4,4,4,4,1,4,3,5,5,5,5,3,5,1,0,1
978,99991,Female,Y,58,55 to 64,Business travel,Business,2230,Cyprus,Europe,0,0,0,4,4,4,5,1,1,1,1,3,1,4,0,0
979,122017,Female,N,21,18 to 24,Business travel,Business,3280,Ghana,Africa,0,5,0,5,3,0,3,3,5,4,4,4,5,3,0,0
980,81197,Female,Y,27,25 to 34,Personal Travel,Business,4760,India,Asia,3,4,3,2,1,3,1,1,2,3,3,3,2,1,12,21
981,24228,Female,Y,49,45 to 54,Business travel,Eco,4760,India,Asia,5,4,4,4,1,5,4,5,5,5,5,1,5,4,30,19
982,98566,Male,Y,13,Under 18,Personal Travel,Business,4760,India,Asia,2,1,2,4,2,2,2,2,3,1,4,2,3,2,0,7
983,117549,Female,Y,27,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,4,4,4,4,3,5,4,3,4,4,43,38
984,24452,Male,Y,28,25 to 34,Business travel,Business,4760,India,Asia,4,4,4,4,5,5,5,5,4,1,5,5,4,5,0,14
985,52506,Male,Y,17,Under 18,Personal Travel,Business,1390,Romania,Europe,1,5,1,4,1,1,2,1,3,4,4,3,4,1,0,0
986,127230,Female,N,54,45 to 54,Business travel,Eco,4760,India,Asia,2,2,2,3,4,2,4,4,4,4,3,3,3,4,0,2
987,47554,Male,Y,59,55 to 64,Business travel,Eco Plus,4760,India,Asia,3,3,3,3,3,3,3,3,2,4,2,2,2,3,0,0
988,48272,Female,N,24,18 to 24,Business travel,Eco Plus,4760,India,Asia,3,5,3,2,3,3,3,3,5,2,5,2,5,3,0,0
989,36902,Male,Y,27,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,2,3,4,1,5,4,6,13
990,47000,Female,Y,29,25 to 34,Business travel,Eco Plus,4760,India,Asia,4,2,2,2,4,4,4,4,3,2,1,4,2,4,0,0
991,71358,Male,Y,40,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,5,4,4,4,4,4,4,5,4,3,62,60
992,100351,Female,Y,26,25 to 34,Personal Travel,Eco,1075,Latvia,Europe,2,2,2,4,3,2,3,3,3,2,4,4,3,3,16,0
993,128131,Male,Y,60,55 to 64,Business travel,Business,1585,Malta,Europe,3,3,3,3,4,5,5,4,4,4,4,4,4,4,0,0
994,59271,Female,Y,26,25 to 34,Business travel,Business,4175,Saint Lucia,North America,2,2,2,2,4,4,4,3,5,4,4,4,5,4,26,0
995,36608,Male,Y,28,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,4,4,4,4,5,2,2,2,5,4,0,0
996,121263,Male,Y,53,45 to 54,Personal Travel,Eco,4760,India,Asia,1,5,2,4,5,2,1,5,5,3,4,3,5,5,45,19
997,16712,Male,Y,48,45 to 54,Personal Travel,Eco,4760,India,Asia,2,5,3,4,5,3,5,5,3,3,2,1,2,5,0,0
998,22022,Female,Y,46,45 to 54,Business travel,Eco Plus,4760,India,Asia,2,3,3,3,2,5,4,1,1,2,1,5,1,5,0,0
999,59019,Female,Y,50,45 to 54,Business travel,Business,4760,India,Asia,5,5,5,5,5,3,5,5,5,4,5,4,5,4,0,0
1000,72926,Male,N,27,25 to 34,Business travel,Business,4760,India,Asia,0,2,2,1,1,2,1,1,4,5,4,5,4,1,0,7
1001,95776,Female,Y,55,55 to 64,Personal Travel,Eco,420,Netherlands,Europe,2,4,3,3,3,1,4,1,1,3,2,3,1,4,0,0
1002,47318,Male,Y,28,25 to 34,Business travel,Business,4760,India,Asia,4,4,3,4,5,5,5,5,1,2,5,5,4,5,0,0
1003,31364,Female,N,56,55 to 64,Personal Travel,Eco,4760,India,Asia,1,5,1,3,3,1,4,3,4,1,1,5,4,3,7,12
1004,104372,Female,Y,51,45 to 54,Business travel,Business,4760,India,Asia,5,5,5,5,4,5,5,3,3,4,3,3,3,5,41,32
1005,82961,Female,Y,42,35 to 44,Business travel,Business,1085,Estonia,Europe,4,4,5,4,5,4,4,4,4,4,4,4,4,4,0,0
1006,87906,Male,N,21,18 to 24,Business travel,Eco,4760,India,Asia,1,5,1,2,3,1,3,3,4,4,4,4,4,3,0,0
1007,11534,Female,N,62,55 to 64,Business travel,Eco Plus,4760,India,Asia,4,4,4,4,4,4,4,4,2,1,4,2,3,4,0,0
1008,33680,Female,Y,42,35 to 44,Business travel,Eco,4760,India,Asia,3,5,5,5,3,1,3,3,3,3,3,5,3,5,0,0
1009,105268,Male,Y,8,Under 18,Personal Travel,Eco,4760,India,Asia,2,2,2,4,3,2,3,3,2,5,4,1,3,3,7,32
1010,29117,Female,Y,35,35 to 44,Personal Travel,Eco,4760,India,Asia,4,0,4,3,2,4,2,2,5,3,4,2,1,2,23,32
1011,113585,Female,Y,37,35 to 44,Business travel,Business,4760,India,Asia,2,2,2,2,5,3,1,4,4,4,4,2,4,1,0,0
1012,104955,Male,Y,69,65 or over,Personal Travel,Business,4760,India,Asia,3,2,3,3,5,2,0,1,1,3,1,2,1,3,14,0
1013,13060,Male,N,34,25 to 34,Business travel,Eco,4760,India,Asia,1,1,1,2,1,1,1,1,1,4,4,5,1,1,0,0
1014,128738,Male,Y,7,Under 18,Personal Travel,Business,2520,California,North America,4,2,4,3,4,1,1,4,3,3,3,1,4,1,0,0
1015,43908,Female,Y,20,18 to 24,Personal Travel,Eco,4760,India,Asia,3,5,3,4,5,3,5,5,5,2,5,4,4,5,0,0
1016,76882,Female,Y,30,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,2,2,2,2,5,4,5,5,5,2,0,13
1017,36626,Female,Y,57,55 to 64,Business travel,Eco,5715,Japan,Asia,2,1,1,1,2,3,4,2,2,2,2,4,2,3,7,1
1018,86574,Female,N,12,Under 18,Business travel,Eco,4760,India,Asia,3,3,3,4,4,3,4,4,4,4,4,1,4,4,18,19
1019,15607,Male,Y,57,55 to 64,Business travel,Business,4760,India,Asia,3,3,3,3,2,3,2,4,4,4,4,5,4,2,0,0
1020,94892,Male,Y,22,18 to 24,Business travel,Eco,4760,India,Asia,4,1,1,1,4,4,5,4,2,3,1,4,4,4,28,45
1021,91704,Male,Y,29,25 to 34,Business travel,Business,4760,India,Asia,3,3,3,3,5,5,5,5,5,5,4,3,4,5,0,0
1022,78909,Male,Y,43,35 to 44,Business travel,Business,4760,India,Asia,5,5,5,5,2,4,4,5,5,5,5,3,5,3,4,0
1023,110219,Male,N,24,18 to 24,Business travel,Business,4760,India,Asia,0,4,4,4,5,4,4,5,3,2,4,4,5,5,0,0
1024,25915,Female,Y,52,45 to 54,Business travel,Eco,4760,India,Asia,4,4,4,4,3,2,4,4,4,4,4,4,4,5,2,0
1025,82183,Female,Y,52,45 to 54,Business travel,Business,4760,India,Asia,1,1,1,1,3,3,4,4,4,4,4,3,4,4,3,0
1026,6802,Male,Y,60,55 to 64,Business travel,Eco,4760,India,Asia,3,5,5,5,3,3,3,3,3,3,3,1,4,3,0,0
1027,74325,Male,Y,45,45 to 54,Business travel,Business,4760,India,Asia,5,5,5,5,4,5,4,3,3,3,3,5,3,3,0,0
1028,21216,Male,Y,41,35 to 44,Business travel,Eco,4760,India,Asia,4,5,5,5,5,4,5,5,2,4,3,1,1,5,0,0
1029,119032,Male,Y,23,18 to 24,Personal Travel,Eco,1460,Moldova,Europe,2,4,2,4,1,2,1,1,4,2,4,4,4,1,0,17
1030,13650,Female,N,23,18 to 24,Business travel,Eco,4760,India,Asia,5,0,5,1,5,1,3,5,2,4,4,3,4,3,154,154
1031,7286,Female,Y,42,35 to 44,Personal Travel,Eco,1070,Lithuania,Europe,4,0,4,4,5,4,5,2,2,4,2,3,2,3,0,0
1032,14336,Male,Y,35,35 to 44,Personal Travel,Eco,4760,India,Asia,1,4,1,1,4,1,2,4,5,4,5,3,5,4,23,33
1033,48622,Male,Y,37,35 to 44,Personal Travel,Eco Plus,4760,India,Asia,2,3,2,2,4,2,4,4,2,1,3,1,3,4,6,7
